"subject","br","hr","far","true_posterior","response","presentation_format","format","condition","trial"
7,0.7,0.5,0.5,0.7,0.5,"Symbolic","frequency","symbolic_natural",30
7,0.7,0.7,0.1,0.9423,0.4,"Symbolic","frequency","symbolic_natural",31
7,0.7,0.7,0.3,0.8448,0.5,"Symbolic","frequency","symbolic_natural",32
7,0.7,0.7,0.5,0.7656,0.5,"Symbolic","frequency","symbolic_natural",33
7,0.7,0.9,0.1,0.9545,0.8,"Symbolic","frequency","symbolic_natural",34
7,0.7,0.9,0.3,0.875,0.8,"Symbolic","frequency","symbolic_natural",35
7,0.7,0.9,0.5,0.8077,0.7,"Symbolic","frequency","symbolic_natural",36
7,0.9,0.5,0.1,0.9783,0.5,"Symbolic","frequency","symbolic_natural",37
7,0.9,0.5,0.3,0.9375,0.6,"Symbolic","frequency","symbolic_natural",38
7,0.9,0.5,0.5,0.9,0.3,"Symbolic","frequency","symbolic_natural",39
7,0.9,0.7,0.1,0.9844,0.5,"Symbolic","frequency","symbolic_natural",40
7,0.9,0.7,0.3,0.9545,0.2,"Symbolic","frequency","symbolic_natural",41
7,0.9,0.7,0.5,0.9265,0.7,"Symbolic","frequency","symbolic_natural",42
7,0.9,0.9,0.1,0.9878,0.8,"Symbolic","frequency","symbolic_natural",43
7,0.9,0.9,0.3,0.9643,0.8,"Symbolic","frequency","symbolic_natural",44
7,0.9,0.9,0.5,0.9419,0.8,"Symbolic","frequency","symbolic_natural",45
8,0.1,0.5,0.1,0.3571,0.36,"Symbolic","frequency","symbolic_natural",1
